Group	Gene_name
group_10137	NAA30
group_10138	SELS
group_10139	MTL26
group_1013	BCLF1
group_10140	SF3B1
group_10141	PABP2
group_10142	CDK7
group_10143	NUFP2
group_10144	44448
group_10145	PGR1A
group_10149	PRDM2
group_1014	CTNA2
group_10150	RAP1A
group_10151	FABPH
group_10152	XRCC4
group_10153	KTBL1
group_10155	CNO11
group_10156	RL9
group_10157	M3K4
group_10157	AKA11
group_10158	PEPD
group_10159	NCOR2
group_1015	CEBPZ
group_10160	CS047
group_10161	DPH5
group_10162	TAM41
group_10164	PDCD2
group_10165	GPR75
group_10166	MSL2
group_10167	SNX4
group_10168	MS3L1
group_10169	RHOF
group_1016	TTC7B
group_1016	TTC7A
group_10170	GALT
group_10171	IF4H
group_10172	IF4H
group_10173	AP3B1
group_10174	RL18A
group_10176	FDFT
group_10177	REN3B
group_10179	CAZA1
group_1017	K2026
group_10180	SNG3
group_10181	RAB10
group_10182	ARFG2
group_10183	T176A
group_10185	RIC3
group_10186	CHD4
group_10188	WEE1
group_10189	MSH6
group_1018	C2CD5
group_10190	RNF24
group_10191	DPP6
group_10192	SAP3
group_10193	PLPHP
group_10194	PIANP
group_10196	ABCB7
group_10197	VATC1
group_10199	MPND
group_1019	RUSC1
group_101	NEUL4
group_10200	WSB2
group_10201	PLPP3
group_10202	ADA10
group_10203	COQ3
group_10204	SF3A3
group_10205	NEUS
group_10206	DCTN5
group_10207	DBND2
group_10208	TRI13
group_10209	CNIH1
group_1020	GLD2
group_10210	CDC42
group_10211	YIPF5
group_10212	SCAF4
group_10213	FOXP1
group_10214	ELP3
group_10215	JMY
group_10216	TNG2
group_10218	TR112
group_10219	MOR2A
group_1021	SOS2
group_1021	SOS1
group_10220	IZUM4
group_10222	DIK2A
group_10223	WIPI3
group_10224	CAD13
group_10225	TMEM9
group_10227	RAB14
group_10228	ATF1
group_10229	PMVK
group_1022	TIAM1
group_1022	TIAM2
group_10230	DHB4
group_10231	CHD5
group_10232	CCSE2
group_10233	P5CS
group_10234	EIF1A
group_10235	B3GN2
group_10236	CBPC6
group_10237	ABHD3
group_10238	ATIF1
group_10239	TBPL1
group_1023	PUM1
group_1023	PUM2
group_10240	JIP1
group_10241	TBC23
group_10242	NUD19
group_10244	POC5
group_10245	GLU2B
group_10246	ESS2
group_10247	PI42C
group_10248	ZWINT
group_10249	IMPA1
group_1024	TCRG1
group_10250	PEX7
group_10251	SIA7D
group_10253	IPP
group_10254	TIM23
group_10255	RYK
group_10256	RMP
group_10257	TMM33
group_10258	KCY
group_10259	SORT
group_10260	AB17A
group_10261	RT33
group_10262	AKA10
group_10263	YAE1
group_10264	ECH1
group_10265	EI2BG
group_10266	SNAG
group_10267	SARAF
group_10269	EVI5
group_1026	CTC1
group_10270	PAIP1
group_10271	K1143
group_10272	TTC4
group_10273	COIL
group_10274	LAPM5
group_10275	ABHD6
group_10276	LFG1
group_10277	RT18C
group_10278	HYPK
group_1027	CE104
group_10280	ARP2
group_10281	HOMEZ
group_10283	PPIH
group_10284	CRYAB
group_10285	GPS2
group_10286	UCP2
group_10287	CASP3
group_10288	TRI35
group_10289	TM127
group_1028	CPEB4
group_1028	CPEB2
group_10290	RAP2C
group_10291	TMM44
group_10292	FPRP
group_10293	TX261
group_10294	FCF1
group_10295	PMGT2
group_10296	ZNF44
group_10297	SDCB1
group_10298	RETR1
group_10299	NSE2
group_1029	ZN740
group_102	KS6A2
group_102	KS6A3
group_102	KS6A4
group_102	KS6A1
group_10300	GSG1L
group_10301	SIM14
group_10302	KLH34
group_10303	CALY
group_10304	BAG6
group_1030	RN214
group_1031	LIMC1
group_1032	BMS1
group_1033	RASL1
group_1034	E41LB
group_1035	NIPBL
group_1036	SPNS2
group_1037	BAZ1B
group_1038	F149B
group_1039	IGSF8
group_103	PCX1
group_103	PCX2
group_103	PCX3
group_1040	TDRD7
group_1042	P4HA1
group_1042	P4HA2
group_1043	NRAM2
group_1044	UTP18
group_1045	RETST
group_1046	EMARD
group_1048	ARMC9
group_1049	PHF1
group_104	CAC1G
group_104	CAC1I
group_104	CAC1H
group_1050	ALAT2
group_1050	ALAT1
group_107	RAF1
group_107	BRAF
group_107	RMIL
group_107	ARAF
group_107	MKRN2
group_1080	TBC14
group_1080	TBC12
group_1081	GRB14
group_1082	BAP1
group_1083	F16A2
group_1084	ARI2
group_1085	F120A
group_1085	F120C
group_1086	DDX42
group_1087	PTOV1
group_1087	MED25
group_1087	PTVO1
group_1088	SYNRG
group_1089	CAN7
group_108	MARK2
group_108	MARK3
group_108	MARK1
group_108	MARK4
group_1090	HCFC2
group_1090	HCFC1
group_1091	IF4A3
group_1091	IF4A1
group_1091	IF4A2
group_1092	CIAO3
group_1093	UBP34
group_1094	BRNP1
group_1094	BRNP2
group_1095	ARBK1
group_1095	ARBK2
group_1096	RFIP4
group_1097	ABI1
group_1097	ABI2
group_1098	SNX14
group_1099	TLK2
group_1099	TLK1
group_109	CELR2
group_109	CELR3
group_10	ABCA2
group_10	ABCA7
group_10	ABCA1
group_1100	TICN2
group_1101	ALDH2
group_1101	AL1A1
group_1101	ALDH
group_1102	SPT5H
group_1103	SRBS2
group_1104	RMC1
group_1105	TP53B
group_1106	MMP16
group_1106	MMP24
group_1106	MMP14
group_1107	MKRN2
group_1107	RAF1
group_1108	MAPK5
group_1109	FBH1
group_110	MYO1B
group_110	MYO1F
group_110	MYO1D
group_1110	MIA2
group_1111	PKHA5
group_1112	AKT3
group_1112	AKT2
group_1112	AKT
group_1113	HNRH1
group_1113	HNRH2
group_1113	HNRPF
group_1114	CTBP1
group_1114	CTBP2
group_1115	RNH2A
group_1116	MED15
group_1117	CENPC
group_1118	JADE2
group_1118	JADE1
group_1118	JADE3
group_1119	PAK3
group_1119	PAK1
group_1119	PAK2
group_111	NUP98
group_1120	DDX20
group_1121	GDIB
group_1121	GDIA
group_1122	KAT7
group_1123	TR150
group_1124	SATB1
group_1124	SATB2
group_1125	PRC2A
group_1125	PRC2B
group_1126	VP13D
group_112	SPTN4
group_112	SPTB2
group_112	SPTN2
group_112	SPTB1
group_1146	PP2BA
group_1146	PP2BB
group_1146	PP2BC
group_1147	ITB1
group_1147	ITB5
group_1147	ITB2
group_1148	NEB2
group_1148	NEB1
group_1149	S14L1
group_114	ANKH1
group_114	ANR17
group_1150	ACSA
group_1150	ACS2L
group_1151	KLHL9
group_1151	KLH13
group_1152	LTN1
group_1153	FADS1
group_1153	FADS2
group_1154	ASH1L
group_1155	TBCD
group_1156	TGO1
group_1157	WASC4
group_1158	BICD1
group_1158	BICD2
group_1159	INT10
group_115	CTND1
group_115	ARVC
group_1160	ZNF23
group_1161	TOP2B
group_1162	SH3K1
group_1163	TM9S1
group_1164	STK25
group_1164	STK24
group_1166	T161B
group_11670	OST48
group_11672	MYPR
group_11673	EIF3M
group_11674	RNF4
group_11675	RT09
group_11676	VATL
group_11676	VATL5
group_11676	VATL2
group_11678	TLCD1
group_11679	CHCH2
group_1167	C2D1A
group_1167	C2D1B
group_11680	FBRL
group_11681	VPS28
group_11682	UB2G1
group_11683	GRPE2
group_11684	HDA11
group_11685	HAP28
group_11686	REEP5
group_11689	UCK1
group_1168	TACC1
group_11690	METL9
group_11691	UB2E1
group_11692	PDCL3
group_11693	TNR21
group_11694	ROA3
group_11695	EFHD2
group_11696	AP4A
group_11697	NHRF1
group_11698	JAZF1
group_1169	KPB2
group_1169	KPB1
group_116	FERM2
group_116	URP2
group_11700	VP26C
group_11701	THUM1
group_11702	LYNX1
group_11703	SYN1
group_11704	TRI44
group_11705	NFYB
group_11706	RN187
group_11707	CYB5
group_11708	GL1D1
group_11709	ZMAT2
group_1170	PLD2
group_1170	PLD1
group_11710	MUTA
group_11712	RS7
group_11712	RS71
group_11713	COF2
group_11714	SCF
group_11715	SUMO3
group_11716	CIA2B
group_11717	S39A9
group_1171	STRP1
group_11720	RPB9
group_11721	FLCN
group_11723	CERS2
group_11723	SETB1
group_11724	PSB4
group_11726	AT1B1
group_11727	SUMO2
group_11728	CX3C1
group_11729	NFIP2
group_1172	MBNL1
group_1172	MBNL2
group_11730	MRP
group_11731	RBM27
group_11733	CHRD1
group_11734	CBPQ
group_11735	RP9
group_11736	MP2K2
group_11737	PEA15
group_11738	CKLF5
group_11739	PRVA
group_1173	HS90B
group_1173	ENPL
group_1173	HS90A
group_11740	COX5B
group_11741	DOLK
group_11742	CABP1
group_11744	DTX4
group_11745	IBP2
group_11746	RSRC2
group_11747	NUDT9
group_11748	HNMT
group_11749	NNRE
group_1174	ASPP2
group_1174	ASPP1
group_11751	TPIS
group_11752	ERH
group_11753	PHB2
group_11754	RDH11
group_11756	PA1B2
group_11757	CC190
group_11758	PADC1
group_11759	HAT1
group_1175	PSMD3
group_11760	NRN1
group_11761	CC181
group_11763	RER1
group_11764	UBXN8
group_11765	RS2
group_11766	RAB4B
group_11767	MYSU
group_11769	SPNS1
group_1176	GCP2
group_11770	FEZ2
group_11771	SSU72
group_11772	ATPF1
group_11773	PACRL
group_11774	FUS
group_11775	NSA2
group_11776	MRES1
group_11777	C10
group_11778	LAMP1
group_11779	UBTD2
group_1177	DGAT1
group_11780	DJC15
group_11782	T2EA
group_11783	CRLS1
group_11784	STX5
group_11785	TCEA1
group_11786	RHBD2
group_11788	BRX1
group_11789	RRP15
group_1178	PROS
group_1178	GAS6
group_11790	SYT12
group_11791	PDCD5
group_11792	RWDD1
group_11794	MGST3
group_11795	NACA
group_11796	PK1IP
group_11797	EAPP
group_1179	SGCE
group_117	ACAD9
group_117	ACADV
group_11801	CO040
group_11802	MSMO1
group_11803	AR2BP
group_11804	B3GA3
group_11805	CQ10B
group_11806	TGAP1
group_11807	SRPRB
group_11808	MINY1
group_11809	DRAM2
group_1180	IDHC
group_1180	IDHP
group_11810	RT16
group_11810	RS16B
group_11811	CCDC6
group_11812	FEM1B
group_11813	RFX7
group_11814	ISCA1
group_11815	PGS2
group_11816	PP1RB
group_11817	ILF2
group_11818	S35F3
group_1181	UBP8
group_11820	RM48
group_11821	ANM8
group_11824	BNI3L
group_11825	COMD9
group_11826	NOP53
group_11827	ZN394
group_11829	FKBPL
group_11831	5NT3B
group_11832	SAT1
group_11835	AJAP1
group_11837	RM45
group_11838	ARMD3
group_11839	MOG1
group_1183	ARRB1
group_1183	ARRB2
group_11841	WDR48
group_11842	ZN365
group_11844	HINT1
group_11845	TM109
group_11846	PDC10
group_11847	EIF1B
group_11848	ARL6
group_11849	RNH2B
group_1184	PDS5B
group_1184	PDS5A
group_11850	LAP4B
group_11852	ZN878
group_11852	ZN709
group_11854	SNP23
group_11855	CDN2D
group_11858	TXD15
group_11859	IBP4
group_1185	PYRG1
group_1185	PYRG
group_1185	PYRG2
group_11860	STA10
group_11861	PAQR7
group_11862	RM32
group_11863	CHC10
group_11864	RU1C
group_11865	ICT1
group_11866	F210A
group_11868	FRS2
group_11871	TCAL8
group_11872	HAX1
group_11873	RTN3
group_11874	EWS
group_11876	ARPC5
group_11877	S35B4
group_11878	MPRD
group_11879	ANO10
group_1187	GGA3
group_1187	GGA1
group_11881	KCNV1
group_11882	GRIN1
group_11883	ITAM
group_11884	HACD2
group_11885	RTN3
group_11886	RS5
group_11887	FRIL1
group_11888	AK1A1
group_11889	DCTN6
group_1188	NIF3L
group_11890	SCD2
group_11891	ARL2
group_11892	SCOT1
group_11893	STMN3
group_11894	TEF
group_11895	DUS12
group_11896	GDE1
group_11897	WASC3
group_11898	SPG21
group_11899	SCN2B
group_1189	COASY
group_118	LIPB1
group_11900	PRIO
group_11901	DJC12
group_11902	SGCB
group_11903	ENDD1
group_11904	UIF
group_11905	LAMP5
group_11906	SFXN5
group_11909	ING4
group_1190	CLUA1
group_11910	DDA1
group_11912	TM9S3
group_11913	GSTM5
group_11914	S35E1
group_11915	REEP2
group_11916	SRBS2
group_11917	RM20
group_11918	HAP1
group_11919	CWC15
group_1191	MPP6
group_1191	MPP2
group_11920	DDX28
group_11921	LRRT2
group_11922	NUDT4
group_11923	ABI2
group_11924	PCBP1
group_11925	SDC2
group_11926	TRFE
group_11927	S35F6
group_11928	ST4A1
group_11929	CXXC5
group_1192	EP400
group_11930	TSR3
group_11932	NTAQ1
group_11933	DNJB1
group_11934	BAX
group_11935	RCAS1
group_11936	SAMTR
group_11937	PTGDS
group_11939	EPHB1
group_1193	LRRT3
group_1193	LRRT4
group_11940	TADA3
group_11941	BTG3
group_11942	ATPO
group_11943	GSTA4
group_11944	RNFT2
group_11945	CHST2
group_11946	ZN363
group_11947	PRDX5
group_11948	RM12
group_11949	VIME
group_1194	DEN5A
group_1194	DEN5B
group_11951	HECAM
group_11952	EMC7
group_11953	F1891
group_11954	METL2
group_11955	VATG1
group_11956	PHAR3
group_11957	APT
group_11958	UBQL1
group_11959	NKAI2
group_1195	HECW1
group_11960	EDIL3
group_11961	ATP5S
group_11962	MED31
group_11963	SUH
group_11964	RRAS2
group_11965	44442
group_11966	PPR1A
group_11967	NSUN4
group_11968	BI1
group_11969	MXI1
group_1196	RPAP2
group_11970	CYTC
group_11971	ZN622
group_11973	ENOPH
group_11975	CNTFR
group_11976	GSKIP
group_11977	CQ10A
group_11978	DERL2
group_11979	GRDN
group_1197	CDAC1
group_11980	F241B
group_11983	NSE1
group_11984	UB2D1
group_11985	STRAP
group_11986	OTUB2
group_11987	NEK7
group_11988	MEP50
group_1198	KDM1A
group_11990	GATM
group_11991	TIPRL
group_11992	KCMB4
group_11993	NOP53
group_11994	SETD7
group_11995	RS17
group_11995	RS17A
group_11996	MPC1
group_11997	KAD1
group_11998	T2AG
group_11999	MPI
group_1199	RGPS1
group_1199	RGPS2
group_11	MAST2
group_11	MAST3
group_11	MAST4
group_11	MAST1
group_12000	RUN3B
group_12001	PEX14
group_12002	PENK
group_12003	CCD32
group_12005	RBM8A
group_12006	RHES
group_12007	SPTB2
group_12008	RND3
group_12009	DBLOH
group_1200	STAU2
group_12010	TM2D2
group_12011	TOB1
group_12012	DMAC2
group_12013	PSTK
group_12015	S35F1
group_12016	CIR1
group_12019	RBM45
group_1201	DDX50
group_1201	DDX21
group_12021	ZN277
group_12022	RAB28
group_12023	SODM
group_12024	UBC9
group_12025	ETFB
group_12026	PHF5A
group_12027	FNTA
group_12028	B4GT2
group_1202	XPO7
group_1202	RBP17
group_12032	RTN4R
group_12033	TNNC1
group_12035	I20L2
group_12036	WDR92
group_12037	NFIL3
group_12039	TBCA
group_12043	MED15
group_12044	S35G2
group_12045	ARCH
group_12046	VATD
group_12047	MAT1
group_12048	PPR3C
group_12049	NIT2
group_12050	PTN5
group_12051	ADIP
group_12053	SPRE1
group_12055	CI040
group_12056	OTUB2
group_12057	OLFL3
group_12058	RAB6B
group_12059	PHB
group_12060	EAA2
group_12061	EAA2
group_12061	RAB9A
group_12063	DAZP1
group_12064	TSN
group_12065	SPCS3
group_12066	SCRB2
group_12067	MAGE1
group_12068	RS13
group_12069	PIMT
group_12070	HSC20
group_12071	NDUC2
group_12072	RT29
group_12073	SON
group_12074	NEUA
group_12075	ELOA1
group_12076	PPME1
group_12077	LY6E
group_12078	AP1M1
group_12079	STX7
group_12080	STR3N
group_12081	AUHM
group_12083	TSN33
group_12083	PSME4
group_12084	PGRC1
group_12085	BAG1
group_12086	SPF30
group_12087	NSF1C
group_12090	AHSA1
group_12091	KAD6
group_12092	TM50A
group_12093	WNK1
group_12094	X3CL1
group_12096	PPIB
group_12097	UBE2A
group_12097	UBE2B
group_12098	RL7A
group_12099	CHP3
group_120	ELAP2
group_120	ELAP1
group_12100	CSTF3
group_12101	EIF3H
group_12102	THYN1
group_12103	NCDN
group_12104	ANR46
group_12105	UBE2K
group_12106	NHP2
group_12107	FXL17
group_12108	CLD12
group_12109	RS25
group_12110	NSG2
group_12111	UBE2H
group_12112	MTX2
group_12113	ARL15
group_12114	UBA5
group_12115	SAV1
group_12116	CD5R1
group_12117	BACH
group_12119	YIPF6
group_12120	ALG2
group_12121	RN141
group_12122	ETFA
group_12125	CAZA2
group_12127	TMX1
group_12129	RL13
group_12131	TMM65
group_12132	ARM10
group_12133	RET1
group_12134	RM03
group_12135	RLA0
group_12136	CCD25
group_12137	KGUA
group_12138	TBRG1
group_12139	PSA6
group_12140	FGF12
group_12141	CAST2
group_12142	AT5G3
group_12143	TLS1
group_12144	LRC28
group_12145	DREB
group_12146	PRKRA
group_12147	UBP34
group_12149	PEX16
group_12150	THNS1
group_12152	ZBTB1
group_12153	ACPM
group_12154	EBP
group_12155	SNF8
group_12156	AP2A2
group_12157	KHDR1
group_12158	EXT2
group_12159	RWDD4
group_12160	FKBP2
group_12161	SHC3
group_12163	SLD5
group_12164	RCAF1
group_12165	RS24
group_12166	LAP4A
group_12167	NDUBB
group_12168	CLCN6
group_12169	ENY2
group_12172	COMD3
group_12173	RL27A
group_12174	SMCA4
group_12175	ETS2
group_12177	MPH6
group_12178	CCNE1
group_12179	SAHH
group_12180	PEBB
group_12181	THTR
group_12183	KLF5
group_12185	RPC22
group_12186	COMD2
group_12187	VWA1
group_12188	SPRL1
group_12190	S10AD
group_12191	Z3H7A
group_12192	EOLA1
group_12193	ITPA
group_12194	UCRI
group_12196	ISC2A
group_12196	ISC2B
group_12197	LG3BP
group_12198	RPP30
group_12199	NAMPT
group_12200	MDHM
group_12201	VP33A
group_12202	KPYM
group_12203	GRL1A
group_12204	SPRY7
group_12205	THTPA
group_12206	LSM3
group_12207	PIM2
group_12210	SORCN
group_12211	ARPIN
group_12212	RM17
group_12213	G137C
group_12214	TAGL
group_12216	BHE40
group_12217	NDUAA
group_12218	CRYM
group_12221	WDR26
group_12223	TPD52
group_12224	OTUB1
group_12225	TLCD4
group_12225	YF22
group_12226	PPAC
group_12227	YPEL1
group_12227	YPEL2
group_12228	SPIN1
group_12229	IDI1
group_12230	HYOU1
group_12231	VIAAT
group_12232	MSL1
group_12232	SKP1
group_12233	COPG1
group_12234	HDHD2
group_12235	LYRM4
group_12236	RCAN1
group_12237	CL004
group_12238	CAMLG
group_12239	AATC
group_12240	NP1L5
group_12241	ASPH
group_12242	GPT2L
group_12243	ACOT9
group_12244	CPPED
group_12245	ROAA
group_12246	RM16
group_12247	WBP4
group_12248	TSN17
group_12249	CRKL
group_12254	FABP5
group_12255	PSB1
group_12256	GPX1
group_12257	NKRF
group_12259	DPOLB
group_12260	PARM1
group_12261	RSRC1
group_12262	LANC2
group_12263	GIPC1
group_12264	NECD
group_12265	TBPL1
group_12266	INSY1
group_12267	VKOR1
group_12269	NEUL1
group_12270	DJC21
group_12271	MIC26
group_12272	RL23
group_12273	CBY1
group_12274	RM11
group_12275	SAP
group_12276	SIA8C
group_12277	PPM1H
group_12278	GOSR2
group_12279	NPTXR
group_12280	PINK1
group_12281	PA2G4
group_12282	RL26
group_12283	KLF10
group_12284	PSMF1
group_12285	TM251
group_12286	BCAT1
group_12289	NEUM
group_12290	UQCC1
group_12291	ML12B
group_12293	ERD21
group_12294	RT02
group_12295	PX11B
group_12296	BEND6
group_12297	C1GLC
group_12298	RB11B
group_12300	RACK1
group_12301	MBD2
group_12302	FRMD6
group_12303	ZFAN3
group_12304	SPEE
group_12305	SIR2
group_12306	PRDM8
group_12307	COXM1
group_12308	LZTS1
group_12309	CRERF
group_12310	RM19
group_12311	NCOA6
group_12312	TOM22
group_12313	RL14
group_12314	BRID5
group_12314	LST8
group_12315	BRID5
group_12315	LST8
group_12316	PP4C
group_12317	HDC
group_12318	METL6
group_12319	NDF6
group_12320	CEP20
group_12321	TEN1L
group_12322	DDAH1
group_12323	ATG5
group_12324	ZBTB4
group_12325	EFMT1
group_12326	ALKB6
group_12328	PEX3
group_12329	S39AC
group_12331	GRAN
group_12332	UBX2A
group_12333	ZDH20
group_12335	RM01
group_12336	CBX6
group_12337	DUS26
group_12338	RL29
group_12339	CI072
group_12340	AT1B3
group_12341	ZN248
group_12342	CRYL1
group_12343	RPC7L
group_12345	CREL2
group_12346	F177A
group_12347	LRRT1
group_12348	SRP14
group_12349	THIO
group_12349	THIO2
group_12349	TRXH1
group_12355	ARHG2
group_12356	VAPA
group_12357	GET1
group_12358	F220A
group_12359	RN217
group_12360	ZN717
group_12361	CNIH4
group_12362	RM13
group_12364	EMC4
group_12365	RSLAB
group_12366	IF4H
group_12369	GPR39
group_12370	PSMD1
group_12371	STAU2
group_12372	DIRC2
group_12373	TSN3
group_12374	NUP35
group_12375	IPP2
group_12376	ZFP37
group_12376	ZN519
group_12377	RLP24
group_12378	STX12
group_12379	HPRT
group_12380	RGMB
group_12381	NAT8L
group_12382	SON
group_12384	LIX1
group_12385	RS14
group_12386	PGAM1
group_12387	C1QA
group_12388	TM192
group_12389	NDRG2
group_12391	TCF20
group_12392	GBRL2
group_12393	SMG8
group_12394	TIMP2
group_12395	PSA2
group_12397	ATPD
group_12398	RABE1
group_12398	NUP88
group_123	ZO1
group_123	ZO2
group_12400	RAB12
group_12401	VP26B
group_12402	I10R2
group_12403	EPDR1
group_12404	GRB2
group_12405	DESI1
group_12406	7B2
group_12407	THOC7
group_12408	DERL1
group_12409	PAQRB
group_12410	MFF
group_12411	TMED3
group_12412	SPRC
group_12413	EPMIP
group_12414	TMM64
group_12415	EF1B
group_12416	HIKES
group_12417	ARF4
group_12418	SRP19
group_12419	RT35
group_12420	RIR1
group_12421	GNA13
group_12422	S10AA
group_12423	ITM2B
group_12424	ZNF92
group_12424	ZN723
group_12425	SYT11
group_12426	MIC25
group_12428	SAP18
group_12429	CHM2A
group_12430	SON
group_12432	RPC9
group_12433	NT5M
group_12434	RIOK2
group_12435	MS3L1
group_12436	PALM
group_12437	G6PC3
group_12438	PLCE
group_12439	PCNA
group_12440	IF4E2
group_12441	BAP29
group_12442	MOT8
group_12443	EFMT2
group_12444	SMYD3
group_12445	IF2B
group_12446	MTMR9
group_12447	DEST
group_12448	HYEP
group_12449	TM14A
group_1244	MED17
group_12450	DOHH
group_12451	HMGN5
group_12452	MESD
group_12453	MCFD2
group_12454	CCD43
group_12455	HEMH
group_12456	TTC1
group_12458	AL1L1
group_12458	FMT
group_12458	ARNA
group_12458	DEF
group_12459	RM37
group_1245	ARI4B
group_12460	AMN1
group_12461	SEN15
group_12462	ACADL
group_12463	CSTOS
group_12464	RAB35
group_12465	TAF7
group_12466	T2FB
group_12467	RB27B
group_12468	TAF3
group_12469	SYSC
group_1246	LYAG
group_12470	THIM
group_12471	TF3C2
group_12472	IF2A
group_12473	PCAT1
group_12474	AN32A
group_12475	FBX44
group_12476	PTPA
group_12477	NIPS1
group_12479	PGTB2
group_1247	CSK22
group_1247	CSK21
group_12480	BYST
group_12481	CH037
group_12482	RCL1
group_12483	EMP2
group_12484	FOS
group_12488	RPAB3
group_12489	HSP74
group_1248	SNX5
group_1248	SNX6
group_1248	SNX32
group_12490	PBIR1
group_12492	AAMDC
group_12493	CNPY2
group_12494	RFC2
group_12495	FRG1
group_12496	LDAF1
group_12497	RING2
group_12498	LFG4
group_1249	ATRN
group_1249	ATRN1
group_124	OPHN1
group_124	RHG26
group_124	RHG10
group_12500	PSD13
group_12501	ECHM
group_12502	B3A3
group_12503	ZN431
group_12504	TSN12
group_12505	AGAL
group_12507	MINP1
group_1250	MA2A2
group_12510	COQ7
group_12511	RRP12
group_12513	ASF1A
group_12514	CP51A
group_12516	COMD7
group_12517	SET1B
group_12518	THIOM
group_12519	PSMD8
group_1251	CALX
group_1251	CLGN
group_12520	COG4
group_12521	CDO1
group_12522	MMAC
group_12523	FGOP2
group_12524	RS12
group_12525	NUBP2
group_12526	RD23B
group_12527	BABA1
group_12528	NSD3
group_1252	KDIS
group_12530	RNF34
group_12531	ESCO1
group_1253	FAAH1
group_1254	GEPH
group_1255	RELCH
group_1256	UBP53
group_1257	NOP56
group_1258	NF1
group_1259	TRM1L
group_125	TANC2
group_125	TANC1
group_125	P2R3A
group_1260	CL16A
group_1261	ARHGH
group_1262	EXOC2
group_1263	PRDM4
group_1264	GP107
group_1264	GP108
group_1265	RADI
group_1265	EZRI
group_1265	MOES
group_1266	UBQL4
group_1266	UBQL1
group_1267	GRK5
group_1267	GRK6
group_1268	S6A17
group_1268	S6A15
group_1269	UBP14
group_1269	THOC1
group_126	SC6A1
group_126	SC6A6
group_126	S6A11
group_126	SC6A8
group_1270	CYH2
group_1270	CYH1
group_1270	CYH4
group_1270	CYH3
group_1271	GDE
group_1272	SETD5
group_1273	PCF11
group_1274	ALG3
group_1275	SPTN1
group_1277	PHF14
group_1278	MAON
group_1278	MAOX
group_1278	MAOM
group_1279	AFAD
group_127	SURF4
group_1280	DDX41
group_1281	TTLL7
group_1282	TB10B
group_1282	TB10A
group_1283	UBE4A
group_1284	UBP16
group_1285	MRTFA
group_1286	TCPE
group_1287	WSDU1
group_1288	RN112
group_1289	ANM5
group_128	VLDLR
group_128	LRP8
group_1290	RAE1
group_1291	PAF1
group_1292	ZBT38
group_1293	MORC3
group_1294	GANP
group_1295	BRD9
group_1296	FUBP1
group_1296	FUBP2
group_1297	SRPRA
group_1298	GLYR1
group_1299	NRDC
group_12	PTPRS
group_12	PTPRA
group_12	PTPRF
group_12	PTPRD
group_12	PTPRE
group_1300	CNDH2
group_1301	CNDH2
group_1302	ANGE2
group_1303	KANL3
group_1304	NOL4
group_1304	NOL4L
